L,h,C_max
3,225,12.8540039062
3,228,13.1286621094
3,231,13.4399414062
3,234,13.8061523438
3,237,14.1906738281
3,240,14.6301269531
3,243,15.1245117188
3,246,15.6555175781
3,249,16.259765625
3,252,16.9189453125
3,255,17.6513671875
3,258,18.45703125
3,261,19.3542480469
3,264,20.3430175781
3,267,21.4599609375
3,270,22.6867675781
3,273,24.0417480469
3,276,25.5615234375
3,279,27.24609375
3,282,29.1320800781
3,285,31.201171875
3,288,33.544921875
3,291,36.181640625
3,294,39.1296386719
3,297,42.48046875
3,300,46.2890625
3,303,50.9399414062
3,306,56.7810058594
3,309,64.2883300781
3,312,74.3041992188
3,315,88.4033203125
3,318,110.247802734
3,321,99.9755859375
3,324,63.8488769531
3,327,51.5625
3,330,44.7509765625
3,333,40.2282714844
3,336,36.9689941406
3,339,34.4970703125
3,342,32.5378417969
3,345,30.9814453125
3,348,29.6447753906
3,351,28.4729003906
3,354,27.4475097656
3,357,26.5502929688
3,360,25.78125
4,0,32.2998046875
4,3,31.6040039062
4,6,30.9997558594
4,9,30.5053710938
4,12,30.1025390625
4,15,26.6418457031
4,18,22.3022460938
4,21,19.2260742188
4,24,16.9372558594
4,27,15.1611328125
4,30,13.76953125
4,33,12.6342773438
4,36,11.71875
4,39,10.9313964844
4,42,10.2905273438
4,45,9.7412109375
4,48,9.26513671875
4,51,8.8623046875
4,54,8.49609375
4,57,8.203125
4,60,7.94677734375
4,63,7.72705078125
4,66,7.52563476562
4,69,7.36083984375
4,72,7.23266601562
4,75,7.12280273438
4,78,7.03125
4,81,6.9580078125
4,84,6.92138671875
4,87,6.884765625
4,90,6.884765625
4,93,6.884765625
4,96,6.92138671875
4,99,6.9580078125
4,102,7.03125
4,105,7.12280273438
4,108,7.23266601562
4,111,7.36083984375
4,114,7.52563476562
4,117,7.70874023438
4,120,7.94677734375
4,123,8.203125
4,126,8.49609375
4,129,8.84399414062
4,132,9.24682617188
4,135,9.70458984375
4,138,10.25390625
4,141,10.8947753906
4,144,11.6455078125
4,147,12.5244140625
4,150,13.5498046875
4,153,14.7216796875
4,156,15.9851074219
4,159,17.0654296875
4,162,17.5598144531
4,165,17.6330566406
4,168,17.4865722656
4,171,17.2668457031
4,174,17.0104980469
4,177,16.7541503906
4,180,16.5161132812
4,183,16.2963867188
4,186,16.11328125
4,189,15.966796875
4,192,15.8569335938
4,195,15.7836914062
4,198,15.7470703125
4,201,15.7287597656
4,204,15.7653808594
4,207,15.8386230469
4,210,15.9301757812
4,213,16.0583496094
4,216,16.2231445312
4,219,16.40625
4,222,16.6259765625
4,225,16.8640136719
4,228,17.138671875
4,231,17.4682617188
4,234,17.8161621094
4,237,18.2006835938
4,240,18.6584472656
4,243,19.1345214844
4,246,19.6655273438
4,249,20.2697753906
4,252,20.9289550781
4,255,21.6430664062
4,258,22.4304199219
4,261,23.3093261719
4,264,24.2797851562
4,267,25.3601074219
4,270,26.5319824219
4,273,27.8503417969
4,276,29.3151855469
4,279,30.9265136719
4,282,32.7392578125
4,285,34.7534179688
4,288,37.0056152344
4,291,39.5324707031
4,294,42.3889160156
4,297,45.7214355469
4,300,49.7680664062
4,303,54.78515625
4,306,61.0656738281
4,309,69.1772460938
4,312,79.9621582031
4,315,95.068359375
4,318,118.249511719
4,321,127.331542969
4,324,80.2734375
4,327,63.6108398438
4,330,54.8583984375
4,333,49.2004394531
4,336,45.1538085938
4,339,42.1325683594
4,342,39.7521972656
4,345,37.8845214844
4,348,36.3647460938
4,351,35.1196289062
